Parameter;SunDownTime;RulesEngineArgument;16:36;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Parameter;SunUpDownType;Configuration;Mathematical;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Parameter;SunUpTime;RulesEngineArgument;08:09;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Systemvariable;Temperature;Result;6.450000;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Systemvariable;Time;Result;0;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Systemvariable;TimerEvents;Result;0;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Parameter;UpTime;Configuration;05:15;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Parameter;UpdateTime;RulesEngineArgument;<Empty>;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Systemvariable;Workingday;Result;true;7a2e8b57-84fe-d775-0000-00006563ba1d;;;;
Parameter;Cycle;RulesEngineArgument;Freizeit;7a2e8b57-84fe-d775-0000-000065641bb1;end-of-day;1701059505181;Success;
Systemvariable;DailyEvents;Result;"T0:7.0;T1:8.11;T6:17.15";7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;Date;RulesEngineArgument;28.11.2023;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Systemvariable;LastBatchrun;Result;27.11.2023-05:31:47;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;MaxForecastTemperature;RulesEngineArgument;1.21;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;MaxSunDownTime;Configuration;22:15;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;MaxSunUpTime;Configuration;10:00;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;MinSunDownTime;Configuration;17:15;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;MinSunUpTime;Configuration;05:30;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Systemvariable;Month;Result;10;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;ShadowTemperature;Configuration;25.0;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;ShadowTime;Configuration;09:00;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;SunDownTime;RulesEngineArgument;16:35;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;SunUpDownType;Configuration;Mathematical;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;SunUpTime;RulesEngineArgument;08:11;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Systemvariable;Temperature;Result;1.210000;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Systemvariable;Time;Result;0;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Systemvariable;TimerEvents;Result;0;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;UpTime;Configuration;07:00;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;UpdateTime;RulesEngineArgument;<Empty>;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Systemvariable;Workingday;Result;false;7a2e8b57-84fe-d775-0000-000065641bb1;;;;
Parameter;Cycle;RulesEngineArgument;Freizeit;7a2e8b57-84fe-d775-0000-000065650b9e;end-of-day;1701120926566;Success;
Systemvariable;DailyEvents;Result;"T0:7.0;T1:8.11;T6:17.15";7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;Date;RulesEngineArgument;28.11.2023;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Systemvariable;LastBatchrun;Result;27.11.2023-22:35:28;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;MaxForecastTemperature;RulesEngineArgument;3.23;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;MaxSunDownTime;Configuration;22:15;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;MaxSunUpTime;Configuration;10:00;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;MinSunDownTime;Configuration;17:15;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;MinSunUpTime;Configuration;05:30;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Systemvariable;Month;Result;10;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;ShadowTemperature;Configuration;25.0;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;ShadowTime;Configuration;09:00;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;SunDownTime;RulesEngineArgument;16:35;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;SunUpDownType;Configuration;Mathematical;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;SunUpTime;RulesEngineArgument;08:11;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Systemvariable;Temperature;Result;3.230000;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Systemvariable;Time;Result;0;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Systemvariable;TimerEvents;Result;0;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;UpTime;Configuration;07:00;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;UpdateTime;RulesEngineArgument;<Empty>;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Systemvariable;Workingday;Result;false;7a2e8b57-84fe-d775-0000-000065650b9e;;;;
Parameter;Cycle;RulesEngineArgument;Freizeit;7a2e8b57-84fe-d775-0000-000065665d26;end-of-day;1701207334126;Success;
Systemvariable;DailyEvents;Result;"T0:7.0;T1:8.12;T6:17.15";7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;Date;RulesEngineArgument;29.11.2023;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Systemvariable;LastBatchrun;Result;28.11.2023-22:35:35;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;MaxForecastTemperature;RulesEngineArgument;2.49;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;MaxSunDownTime;Configuration;22:15;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;MaxSunUpTime;Configuration;10:00;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;MinSunDownTime;Configuration;17:15;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;MinSunUpTime;Configuration;05:30;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Systemvariable;Month;Result;10;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;ShadowTemperature;Configuration;25.0;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;ShadowTime;Configuration;09:00;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;SunDownTime;RulesEngineArgument;16:34;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;SunUpDownType;Configuration;Mathematical;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;SunUpTime;RulesEngineArgument;08:12;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Systemvariable;Temperature;Result;2.490000;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Systemvariable;Time;Result;0;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Systemvariable;TimerEvents;Result;0;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;UpTime;Configuration;07:00;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;UpdateTime;RulesEngineArgument;<Empty>;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Systemvariable;Workingday;Result;false;7a2e8b57-84fe-d775-0000-000065665d26;;;;
Parameter;Cycle;RulesEngineArgument;Freizeit;7a2e8b57-84fe-d775-0000-00006567aea4;end-of-day;1701293732287;Success;
Systemvariable;DailyEvents;Result;"T0:7.0;T1:8.14;T6:17.15";7a2e8b57-84fe-d775-0000-00006567aea4;;;;
Parameter;Date;RulesEngineArgument;30.11.2023;7a2e8b57-84fe-d775-0000-00006567aea4;;;;
Systemvariable;LastBatchrun;Result;29.11.2023-22:35:35;7a2e8b57-84fe-d775-0000-00006567aea4;;;;
Parameter;MaxForecastTemperature;RulesEngineArgument;2.43;7a2e8b57-84fe-d775-0000-00006567aea4;;;;
Parameter;MaxSunDownTime;Configuration;22:15;7a2e8b57-84fe-d775-0000-00006567aea4;;;;
Parameter;MaxSunUpTime;Configuration;10:00;7a2e8b57-84fe-d775-0000-00006567aea4;;;;
Parameter;MinSunDownTime;Configuration;17:15;7a2e8b57-84fe-d775-0000-00006567aea4;;;;
Parameter;MinSunUpTime;Configuration;05:30;7a2e8b57-84fe-d775-0000-00006567aea4;;;;
Systemvariable;Month;Result;10;7a2e8b57-84fe-d775-0000-00006567aea4;;;;
Parameter;ShadowTemperature;Configuration;25.0;7a2e8b57-84fe-d775-0000-00006567aea4;;;;
Parameter;ShadowTime;Configuration;09:00;7a2e8b57-84fe-d775-0000-00006567aea4;;;;
